Folio,Nombre del alumno,Grado,Mensualidad,Estatus de pago
ALU-1024,Ana Sofía Méndez Robles,Preescolar 1°,7500,Al corriente
ALU-1031,Diego Alejandro Vargas Pérez,Preescolar 2°,7500,Al corriente
ALU-1042,Luis Pérez García,Preescolar 2°,9500,Al corriente
ALU-1108,Mariana Rodríguez Salinas,Primaria 3°,9500,Al corriente
ALU-1147,Sebastián Treviño López,Primaria 5°,9500,1-30 días
ALU-1203,Valentina Cervantes Ortiz,Secundaria 1°,11500,Al corriente
ALU-1218,Emiliano Castillo Ramírez,Secundaria 2°,11500,61-90 días
ALU-1244,Camila Fernández Aguilar,Secundaria 3°,11500,Al corriente
ALU-1302,Daniel Garza Montemayor,Prepa 1°,13500,Al corriente
ALU-1325,Renata Villarreal Hernández,Prepa 2°,13500,>90 días
ALU-1338,Andrés Saldaña Cantú,Prepa 3°,13500,Al corriente
